internal_id,LexisNexis_id,source,date,annotator,climate_change,attitude,policy
9,042601cb.265,Fox News Network THE NEXT REVOLUTION 9:00 PM EST,"April 26, 2020 Sunday",10,Neutral,Neutral,Does not mention
9,042601cb.265,Fox News Network THE NEXT REVOLUTION 9:00 PM EST,"April 26, 2020 Sunday",4,Neutral,Neutral,Does not mention
10,042504CN.V11,CNN CNN NEWSROOM 1:00 PM EST,"April 25, 2020 Saturday",10,Acknowledges,Expresses climate concern,Does not mention
10,042504CN.V11,CNN CNN NEWSROOM 1:00 PM EST,"April 25, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
11,042621CN.V11,CNN CNN NEWSROOM 4:00 AM EST,"April 26, 2020 Sunday",10,Neutral,Expresses climate concern,Does not mention
11,042621CN.V11,CNN CNN NEWSROOM 4:00 AM EST,"April 26, 2020 Sunday",4,Neutral,Expresses climate concern,Does not mention
12,042617CN.V11,CNN CNN NEWSROOM 12:00 PM EST,"April 26, 2020 Sunday",10,Neutral,Neutral,Does not mention
12,042617CN.V11,CNN CNN NEWSROOM 12:00 PM EST,"April 26, 2020 Sunday",4,Neutral,Neutral,Does not mention
13,042508CN.V11,CNN CNN NEWSROOM 5:00 PM EST,"April 25, 2020 Saturday",10,Acknowledges,Expresses climate concern,Does not mention
13,042508CN.V11,CNN CNN NEWSROOM 5:00 PM EST,"April 25, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
14,042501CN.V47,CNN New Day Saturday 6:00 AM EST,"April 25, 2020 Saturday",10,Acknowledges,Expresses climate concern,Does not mention
14,042501CN.V47,CNN New Day Saturday 6:00 AM EST,"April 25, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
15,042502CN.V16,CNN THE SITUATION ROOM 8:00 PM EST,"April 25, 2020 Saturday",10,Acknowledges,Expresses climate concern,Does not mention
15,042502CN.V16,CNN THE SITUATION ROOM 8:00 PM EST,"April 25, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
16,042519CN.V11,CNN CNN NEWSROOM 2:00 AM EST,"April 25, 2020 Saturday",10,Neutral,Neutral,Does not mention
16,042519CN.V11,CNN CNN NEWSROOM 2:00 AM EST,"April 25, 2020 Saturday",4,Neutral,Neutral,Does not mention
17,042505CN.V11,CNN CNN NEWSROOM 2:00 PM EST,"April 25, 2020 Saturday",10,Acknowledges,Expresses climate concern,Does not mention
17,042505CN.V11,CNN CNN NEWSROOM 2:00 PM EST,"April 25, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
18,042201cb.473,MSNBC 11TH HOUR WITH BRIAN WILLIAMS 11:00 PM EST,"April 22, 2020 Wednesday",10,Acknowledges,Expresses climate concern,Does not mention
18,042201cb.473,MSNBC 11TH HOUR WITH BRIAN WILLIAMS 11:00 PM EST,"April 22, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Does not mention
19,042301CN.V31,CNN ERIN BURNETT OUTFRONT 7:00 PM EST,"April 23, 2020 Thursday",10,Neutral,Neutral,Does not mention
19,042301CN.V31,CNN ERIN BURNETT OUTFRONT 7:00 PM EST,"April 23, 2020 Thursday",4,Neutral,Neutral,Does not mention
20,042301CN.V40,CNN The Lead with Jake Tapper 4:00 PM EST,"April 23, 2020 Thursday",10,Acknowledges,Neutral,Supports
20,042301CN.V40,CNN The Lead with Jake Tapper 4:00 PM EST,"April 23, 2020 Thursday",4,Acknowledges,Neutral,Supports
21,042222CN.V11,CNN CNN NEWSROOM 4:30 AM EST,"April 22, 2020 Wednesday",11,Acknowledges,Expresses climate concern,Does not mention
21,042222CN.V11,CNN CNN NEWSROOM 4:30 AM EST,"April 22, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Does not mention
22,042301cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 23, 2020 Thursday",11,Acknowledges,Expresses climate concern,Does not mention
22,042301cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 23, 2020 Thursday",4,Acknowledges,Expresses climate concern,Does not mention
23,042304CN.V42,CNN New Day 7:30 AM EST,"April 23, 2020 Thursday",11,Acknowledges,Expresses climate concern,Supports
23,042304CN.V42,CNN New Day 7:30 AM EST,"April 23, 2020 Thursday",4,Acknowledges,Expresses climate concern,Supports
24,042312CN.V11,CNN CNN NEWSROOM 2:30 PM EST,"April 23, 2020 Thursday",11,Acknowledges,Expresses climate concern,Does not mention
24,042312CN.V11,CNN CNN NEWSROOM 2:30 PM EST,"April 23, 2020 Thursday",4,Acknowledges,Expresses climate concern,Does not mention
25,042304CN.V11,CNN CNN NEWSROOM 10:30 AM EST,"April 23, 2020 Thursday",11,Acknowledges,Expresses climate concern,Supports
25,042304CN.V11,CNN CNN NEWSROOM 10:30 AM EST,"April 23, 2020 Thursday",4,Acknowledges,Expresses climate concern,Supports
26,042109CN.V11,CNN CNN NEWSROOM 1:00 PM EST,"April 21, 2020 Tuesday",11,Acknowledges,Expresses climate concern,Supports
26,042109CN.V11,CNN CNN NEWSROOM 1:00 PM EST,"April 21, 2020 Tuesday",4,Acknowledges,Expresses climate concern,Supports
27,042301cb.h06,CNN CNN 10 4:00 AM EST,"April 23, 2020 Thursday",11,Acknowledges,Expresses climate concern,Does not mention
27,042301cb.h06,CNN CNN 10 4:00 AM EST,"April 23, 2020 Thursday",4,Acknowledges,Expresses climate concern,Does not mention
28,042112cb.501,NBC News TODAY SHOW 7:00 AM EST,"April 21, 2020 Tuesday",11,Neutral,Expresses climate concern,Does not mention
28,042112cb.501,NBC News TODAY SHOW 7:00 AM EST,"April 21, 2020 Tuesday",4,Neutral,Expresses climate concern,Does not mention
29,042101cb.454,MSNBC MTP DAILY 5:00 PM EST,"April 21, 2020 Tuesday",11,Acknowledges,Expresses climate concern,Does not mention
29,042101cb.454,MSNBC MTP DAILY 5:00 PM EST,"April 21, 2020 Tuesday",4,Acknowledges,Expresses climate concern,Does not mention
30,042001cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 20, 2020 Monday",11,Acknowledges,Expresses climate concern,Supports
30,042001cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 20, 2020 Monday",4,Acknowledges,Expresses climate concern,Supports
32,042206CN.V11,CNN CNN NEWSROOM 11:30 AM EST,"April 22, 2020 Wednesday",11,Neutral,Expresses climate concern,Does not mention
32,042206CN.V11,CNN CNN NEWSROOM 11:30 AM EST,"April 22, 2020 Wednesday",4,Neutral,Expresses climate concern,Does not mention
35,042201cb.112,PBS NewsHour (formerly The NewsHour with Jim Lehrer) PBS NEWSHOUR 6:00 PM EST,"April 22, 2020 Wednesday",11,Acknowledges,Expresses climate concern,Does not mention
35,042201cb.112,PBS NewsHour (formerly The NewsHour with Jim Lehrer) PBS NEWSHOUR 6:00 PM EST,"April 22, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Does not mention
36,042110CN.V11,CNN CNN NEWSROOM 1:30 PM EST,"April 21, 2020 Tuesday",11,,,
36,042110CN.V11,CNN CNN NEWSROOM 1:30 PM EST,"April 21, 2020 Tuesday",4,,,
37,042101cb.474,MSNBC THE LAST WORD WITH LAWRENCE O`DONNELL 10:00 PM EST,"April 21, 2020 Tuesday",11,Neutral,Neutral,Does not mention
37,042101cb.474,MSNBC THE LAST WORD WITH LAWRENCE O`DONNELL 10:00 PM EST,"April 21, 2020 Tuesday",4,Neutral,Neutral,Does not mention
38,041922CN.V11,CNN CNN NEWSROOM 5:00 AM EST,"April 19, 2020 Sunday",11,Acknowledges,Expresses climate concern,Does not mention
38,041922CN.V11,CNN CNN NEWSROOM 5:00 AM EST,"April 19, 2020 Sunday",4,Acknowledges,Expresses climate concern,Does not mention
39,041701CN.V16,CNN THE SITUATION ROOM 5:00 PM EST,"April 17, 2020 Friday",11,Acknowledges,Expresses climate concern,Does not mention
39,041701CN.V16,CNN THE SITUATION ROOM 5:00 PM EST,"April 17, 2020 Friday",4,Acknowledges,Expresses climate concern,Does not mention
40,041804CN.V11,CNN CNN NEWSROOM 1:00 PM EST,"April 18, 2020 Saturday",11,Acknowledges,Expresses climate concern,Does not mention
40,041804CN.V11,CNN CNN NEWSROOM 1:00 PM EST,"April 18, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
41,042001cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 20, 2020 Monday",11,Neutral,Neutral,Does not mention
41,042001cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 20, 2020 Monday",4,Neutral,Neutral,Does not mention
42,041101cb.251,Fox News Network WATTERS WORLD 8:00 PM EST,"April 11, 2020 Saturday",11,Acknowledges,Neutral,Does not mention
42,041101cb.251,Fox News Network WATTERS WORLD 8:00 PM EST,"April 11, 2020 Saturday",4,Acknowledges,Neutral,Does not mention
43,041609cb.410,CBS News Transcripts CBS THIS MORNING 7:00 AM EST,"April 16, 2020 Thursday",10,Neutral,Neutral,Supports
43,041609cb.410,CBS News Transcripts CBS THIS MORNING 7:00 AM EST,"April 16, 2020 Thursday",3,Neutral,Neutral,Supports
44,041806CN.V11,CNN CNN NEWSROOM 3:00 PM EST,"April 18, 2020 Saturday",10,Neutral,Expresses climate concern,Does not mention
44,041806CN.V11,CNN CNN NEWSROOM 3:00 PM EST,"April 18, 2020 Saturday",3,Neutral,Expresses climate concern,Does not mention
45,041826CN.V11,CNN CNN NEWSROOM 12:00 PM EST,"April 18, 2020 Saturday",10,Neutral,Neutral,Does not mention
45,041826CN.V11,CNN CNN NEWSROOM 12:00 PM EST,"April 18, 2020 Saturday",3,Neutral,Neutral,Does not mention
46,041803CN.V11,CNN CNN NEWSROOM 12:00 PM EST,"April 18, 2020 Saturday",10,Neutral,Neutral,Does not mention
46,041803CN.V11,CNN CNN NEWSROOM 12:00 PM EST,"April 18, 2020 Saturday",3,Neutral,Neutral,Does not mention
48,041401cb.112,PBS NewsHour (formerly The NewsHour with Jim Lehrer) PBS NEWSHOUR 6:00 PM EST,"April 14, 2020 Tuesday",10,Neutral,Expresses climate concern,Does not mention
48,041401cb.112,PBS NewsHour (formerly The NewsHour with Jim Lehrer) PBS NEWSHOUR 6:00 PM EST,"April 14, 2020 Tuesday",3,Neutral,Expresses climate concern,Does not mention
49,041602CN.V54,CNN CNN LIVE EVENT/SPECIAL 9:00 PM EST,"April 16, 2020 Thursday",10,Neutral,Neutral,Supports
49,041602CN.V54,CNN CNN LIVE EVENT/SPECIAL 9:00 PM EST,"April 16, 2020 Thursday",3,Neutral,Neutral,Supports
50,040801cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 8, 2020 Wednesday",10,Neutral,Expresses opposition to climate concern,Does not mention
50,040801cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 8, 2020 Wednesday",3,Neutral,Expresses opposition to climate concern,Does not mention
52,041601cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 16, 2020 Thursday",10,Neutral,Neutral,Does not mention
52,041601cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 16, 2020 Thursday",3,Neutral,Neutral,Does not mention
53,,ABC News Transcript THE VIEW 11:21 AM EST,"April 16, 2020 Thursday",10,Acknowledges,Neutral,Opposes
53,,ABC News Transcript THE VIEW 11:21 AM EST,"April 16, 2020 Thursday",3,Acknowledges,Neutral,Opposes
54,,ABC News Transcript THE VIEW 11:34 AM EST,"April 15, 2020 Wednesday",10,Neutral,Neutral,Does not mention
54,,ABC News Transcript THE VIEW 11:34 AM EST,"April 15, 2020 Wednesday",3,Neutral,Neutral,Does not mention
55,041501cb.473,MSNBC 11TH HOUR WITH BRIAN WILLIAMS 11:00 PM EST,"April 15, 2020 Wednesday",10,Neutral,Expresses climate concern,Does not mention
55,041501cb.473,MSNBC 11TH HOUR WITH BRIAN WILLIAMS 11:00 PM EST,"April 15, 2020 Wednesday",3,Neutral,Expresses climate concern,Does not mention
56,041522CN.V11,CNN CNN NEWSROOM 4:30 AM EST,"April 15, 2020 Wednesday",10,Acknowledges,Expresses climate concern,Does not mention
56,041522CN.V11,CNN CNN NEWSROOM 4:30 AM EST,"April 15, 2020 Wednesday",3,Acknowledges,Expresses climate concern,Does not mention
57,041411cb.501,NBC News TODAY SHOW 7:00 AM EST,"April 14, 2020 Tuesday",10,Acknowledges,Expresses climate concern,Does not mention
57,041411cb.501,NBC News TODAY SHOW 7:00 AM EST,"April 14, 2020 Tuesday",3,Acknowledges,Expresses climate concern,Does not mention
58,041417CN.V11,CNN CNN NEWSROOM 12:00 AM EST,"April 14, 2020 Tuesday",10,Neutral,Expresses climate concern,Does not mention
58,041417CN.V11,CNN CNN NEWSROOM 12:00 AM EST,"April 14, 2020 Tuesday",3,Neutral,Expresses climate concern,Does not mention
59,041420CN.V11,CNN CNN NEWSROOM 3:00 AM EST,"April 14, 2020 Tuesday",10,Neutral,Expresses climate concern,Does not mention
59,041420CN.V11,CNN CNN NEWSROOM 3:00 AM EST,"April 14, 2020 Tuesday",3,Neutral,Expresses climate concern,Does not mention
60,041312CN.V11,CNN CNN NEWSROOM 2:30 PM EST,"April 13, 2020 Monday",10,Neutral,Neutral,Does not mention
60,041312CN.V11,CNN CNN NEWSROOM 2:30 PM EST,"April 13, 2020 Monday",3,Neutral,Neutral,Does not mention
61,041301CN.V40,CNN The Lead with Jake Tapper 4:00 PM EST,"April 13, 2020 Monday",10,Neutral,Neutral,Does not mention
61,041301CN.V40,CNN The Lead with Jake Tapper 4:00 PM EST,"April 13, 2020 Monday",3,Neutral,Neutral,Does not mention
62,041001cb.112,PBS NewsHour (formerly The NewsHour with Jim Lehrer) PBS NEWSHOUR 6:00 PM EST,"April 10, 2020 Friday",10,Neutral,Expresses climate concern,Does not mention
62,041001cb.112,PBS NewsHour (formerly The NewsHour with Jim Lehrer) PBS NEWSHOUR 6:00 PM EST,"April 10, 2020 Friday",3,Neutral,Expresses climate concern,Does not mention
63,041201cb.262,"Fox News Network LIFE, LIBERTY, LEVIN 10:00 PM EST","April 12, 2020 Sunday",10,Neutral,Expresses opposition to climate concern,Does not mention
63,041201cb.262,"Fox News Network LIFE, LIBERTY, LEVIN 10:00 PM EST","April 12, 2020 Sunday",3,Neutral,Expresses opposition to climate concern,Does not mention
64,041201CN.V68,CNN CNN Tonight 8:00 PM EST,"April 12, 2020 Sunday",10,Neutral,Expresses climate concern,Does not mention
64,041201CN.V68,CNN CNN Tonight 8:00 PM EST,"April 12, 2020 Sunday",3,Neutral,Expresses climate concern,Does not mention
65,040901cb.258,Fox News Network THE FIVE 5:00 PM EST,"April 9, 2020 Thursday",2,Neutral,Expresses opposition to climate concern,Does not mention
65,040901cb.258,Fox News Network THE FIVE 5:00 PM EST,"April 9, 2020 Thursday",4,Neutral,Expresses opposition to climate concern,Does not mention
67,040919CN.V11,CNN CNN NEWSROOM 2:00 AM EST,"April 9, 2020 Thursday",2,Acknowledges,Expresses climate concern,Does not mention
67,040919CN.V11,CNN CNN NEWSROOM 2:00 AM EST,"April 9, 2020 Thursday",4,Acknowledges,Expresses climate concern,Does not mention
68,,ABC News Transcript THE VIEW 11:22 AM EST,"April 9, 2020 Thursday",2,Acknowledges,Expresses climate concern,Does not mention
68,,ABC News Transcript THE VIEW 11:22 AM EST,"April 9, 2020 Thursday",4,Acknowledges,Expresses climate concern,Does not mention
69,040801cb.258,Fox News Network THE FIVE 5:00 PM EST,"April 8, 2020 Wednesday",2,Acknowledges,Neutral,Does not mention
69,040801cb.258,Fox News Network THE FIVE 5:00 PM EST,"April 8, 2020 Wednesday",4,Neutral,Neutral,Does not mention
70,040901cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 9, 2020 Thursday",2,Neutral,Expresses climate concern,Does not mention
70,040901cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"April 9, 2020 Thursday",4,Neutral,Expresses climate concern,Does not mention
71,040806CN.V11,CNN CNN NEWSROOM 11:30 AM EST,"April 8, 2020 Wednesday",2,Acknowledges,Expresses climate concern,Does not mention
71,040806CN.V11,CNN CNN NEWSROOM 11:30 AM EST,"April 8, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Does not mention
72,040801cb.259,Fox News Network FOX NEWS @ NIGHT 11:00 PM EST,"April 8, 2020 Wednesday",2,Acknowledges,Expresses climate concern,Does not mention
72,040801cb.259,Fox News Network FOX NEWS @ NIGHT 11:00 PM EST,"April 8, 2020 Wednesday",4,Neutral,Neutral,Does not mention
73,040802CN.V40,CNN The Lead with Jake Tapper 4:30 PM EST,"April 8, 2020 Wednesday",2,Neutral,Expresses climate concern,Does not mention
73,040802CN.V40,CNN The Lead with Jake Tapper 4:30 PM EST,"April 8, 2020 Wednesday",4,Neutral,Neutral,Does not mention
74,040501cb.472,MSNBC POLITICS NATION 5:00 PM EST,"April 5, 2020 Sunday",2,Unclear,Unclear,Unclear
74,040501cb.472,MSNBC POLITICS NATION 5:00 PM EST,"April 5, 2020 Sunday",4,Unclear,Unclear,Unclear
75,040301cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 3, 2020 Friday",2,Neutral,Neutral,Does not mention
75,040301cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 3, 2020 Friday",4,Neutral,Neutral,Does not mention
76,040101cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"April 1, 2020 Wednesday",2,Neutral,Neutral,Does not mention
76,040101cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"April 1, 2020 Wednesday",4,Neutral,Neutral,Does not mention
77,052701cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 27, 2020 Wednesday",2,Neutral,Expresses opposition to climate concern,Opposes
77,052701cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 27, 2020 Wednesday",4,Neutral,Neutral,Opposes
78,052901cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"May 29, 2020 Friday",2,Neutral,Expresses opposition to climate concern,Does not mention
78,052901cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"May 29, 2020 Friday",4,Neutral,Expresses opposition to climate concern,Does not mention
79,052701cb.258,Fox News Network THE FIVE 5:00 PM EST,"May 27, 2020 Wednesday",2,Neutral,Expresses opposition to climate concern,Does not mention
79,052701cb.258,Fox News Network THE FIVE 5:00 PM EST,"May 27, 2020 Wednesday",4,Neutral,Expresses opposition to climate concern,Does not mention
80,052320CN.V11,CNN CNN NEWSROOM 3:00 AM EST,"May 23, 2020 Saturday",2,Acknowledges,Expresses climate concern,Does not mention
80,052320CN.V11,CNN CNN NEWSROOM 3:00 AM EST,"May 23, 2020 Saturday",4,Neutral,Expresses climate concern,Does not mention
81,052701cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"May 27, 2020 Wednesday",2,Acknowledges,Expresses climate concern,Supports
81,052701cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"May 27, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Supports
82,052501cb.454,MSNBC MTP DAILY 5:00 PM EST,"May 25, 2020 Monday",2,Acknowledges,Expresses climate concern,Supports
82,052501cb.454,MSNBC MTP DAILY 5:00 PM EST,"May 25, 2020 Monday",4,Acknowledges,Expresses climate concern,Supports
83,052601cb.457,MSNBC THE BEAT WITH ARI MELBER 6:00 PM EST,"May 26, 2020 Tuesday",2,Neutral,Expresses climate concern,Does not mention
83,052601cb.457,MSNBC THE BEAT WITH ARI MELBER 6:00 PM EST,"May 26, 2020 Tuesday",4,Neutral,Expresses climate concern,Does not mention
85,052201cb.457,MSNBC THE BEAT WITH ARI MELBER 6:00 PM EST,"May 22, 2020 Friday",2,Acknowledges,Expresses climate concern,Does not mention
85,052201cb.457,MSNBC THE BEAT WITH ARI MELBER 6:00 PM EST,"May 22, 2020 Friday",4,Acknowledges,Expresses climate concern,Does not mention
86,052301cb.255,Fox News Network JUSTICE WITH JUDGE PIRRO 9:00 PM EST,"May 23, 2020 Saturday",2,Neutral,Neutral,Opposes
86,052301cb.255,Fox News Network JUSTICE WITH JUDGE PIRRO 9:00 PM EST,"May 23, 2020 Saturday",4,Neutral,Neutral,Does not mention
87,051301cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"May 13, 2020 Wednesday",13,Neutral,Neutral,Does not mention
87,051301cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"May 13, 2020 Wednesday",11,Neutral,Neutral,Does not mention
88,052301CN.V64,CNN Smerconish 9:00 AM EST,"May 23, 2020 Saturday",13,Neutral,Expresses climate concern,Does not mention
88,052301CN.V64,CNN Smerconish 9:00 AM EST,"May 23, 2020 Saturday",11,Neutral,Expresses climate concern,Does not mention
89,052220CN.V11,CNN CNN NEWSROOM 3:00 AM EST,"May 22, 2020 Friday",13,Neutral,Expresses climate concern,Does not mention
89,052220CN.V11,CNN CNN NEWSROOM 3:00 AM EST,"May 22, 2020 Friday",11,Neutral,Expresses climate concern,Does not mention
90,052217CN.V11,CNN CNN NEWSROOM 12:00 AM EST,"May 22, 2020 Friday",13,Neutral,Expresses climate concern,Does not mention
90,052217CN.V11,CNN CNN NEWSROOM 12:00 AM EST,"May 22, 2020 Friday",11,Neutral,Expresses climate concern,Does not mention
91,052002CN.V42,CNN New Day 6:30 AM EST,"May 20, 2020 Wednesday",13,Neutral,Neutral,Does not mention
91,052002CN.V42,CNN New Day 6:30 AM EST,"May 20, 2020 Wednesday",11,Neutral,Neutral,Does not mention
92,052101cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 21, 2020 Thursday",13,Neutral,Neutral,Does not mention
92,052101cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 21, 2020 Thursday",11,Neutral,Neutral,Does not mention
93,052101cb.471,MSNBC THE RACHEL MADDOW SHOW 9:00 PM EST,"May 21, 2020 Thursday",13,Neutral,Expresses climate concern,Does not mention
93,052101cb.471,MSNBC THE RACHEL MADDOW SHOW 9:00 PM EST,"May 21, 2020 Thursday",11,Neutral,Expresses climate concern,Does not mention
94,052001CN.V11,CNN CNN NEWSROOM 9:00 AM EST,"May 20, 2020 Wednesday",13,Neutral,Neutral,Does not mention
94,052001CN.V11,CNN CNN NEWSROOM 9:00 AM EST,"May 20, 2020 Wednesday",11,Neutral,Neutral,Does not mention
95,052005cb.410,CBS News Transcripts CBS THIS MORNING 7:00 AM EST,"May 20, 2020 Wednesday",13,Neutral,Expresses climate concern,Does not mention
95,052005cb.410,CBS News Transcripts CBS THIS MORNING 7:00 AM EST,"May 20, 2020 Wednesday",11,Neutral,Expresses climate concern,Does not mention
96,052001cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 20, 2020 Wednesday",13,Neutral,Neutral,Does not mention
96,052001cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 20, 2020 Wednesday",11,Neutral,Neutral,Does not mention
97,051701CN.V18,CNN FAREED ZAKARIA GPS 10:00 AM EST,"May 17, 2020 Sunday",4,Neutral,Expresses climate concern,Does not mention
97,051701CN.V18,CNN FAREED ZAKARIA GPS 10:00 AM EST,"May 17, 2020 Sunday",11,Neutral,Neutral,Does not mention
98,051703cb.406,CBS News Transcripts CBS 60 MINUTES 7:00 PM EST,"May 17, 2020 Sunday",4,Acknowledges,Expresses climate concern,Does not mention
98,051703cb.406,CBS News Transcripts CBS 60 MINUTES 7:00 PM EST,"May 17, 2020 Sunday",11,Acknowledges,Expresses climate concern,Does not mention
100,051901cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"May 19, 2020 Tuesday",4,Neutral,Neutral,Does not mention
100,051901cb.260,Fox News Network TUCKER CARLSON TONIGHT 8:00 PM EST,"May 19, 2020 Tuesday",11,Neutral,Neutral,Does not mention
101,051607cb.403,"CBS News Transcripts CBS EVENING NEWS, SATURDAY EDITION 6:30 PM EST","May 16, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
101,051607cb.403,"CBS News Transcripts CBS EVENING NEWS, SATURDAY EDITION 6:30 PM EST","May 16, 2020 Saturday",11,Acknowledges,Expresses climate concern,Does not mention
102,051801cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"May 18, 2020 Monday",4,Neutral,Expresses climate concern,Does not mention
102,051801cb.478,MSNBC ALL IN with CHRIS HAYES 8:00 PM EST,"May 18, 2020 Monday",11,Neutral,Neutral,Does not mention
103,051801cb.263,Fox News Network THE STORY WITH MARTHA MACCALLUM 7:00 PM EST,"May 18, 2020 Monday",4,Neutral,Neutral,Does not mention
103,051801cb.263,Fox News Network THE STORY WITH MARTHA MACCALLUM 7:00 PM EST,"May 18, 2020 Monday",11,Neutral,Neutral,Does not mention
104,051801cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 18, 2020 Monday",4,Neutral,Neutral,Does not mention
104,051801cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"May 18, 2020 Monday",11,Neutral,Neutral,Does not mention
105,051501cb.473,MSNBC 11TH HOUR WITH BRIAN WILLIAMS 11:00 PM EST,"May 15, 2020 Friday",4,Neutral,Neutral,Does not mention
