internal_id,annotator,policy,Paris Agreement,Green New Deal,Executive action,Emergency declaration,(De)regulation and laws,Renewable energy,Emission reduction,Oil and gas industry,Other climate policy
197,17,"['Paris Agreement', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,0,1,1,1,0
198,18,"['Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,1,0,1,1,1,1,0
198,17,"['Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,1,0,1,1,1,1,0
205,18,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
205,17,"['Green New Deal', 'Executive action', 'Renewable energy']",0,1,1,0,0,1,0,0,0
206,17,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
206,18,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
207,17,"['Green New Deal', 'Renewable energy', 'Emission reduction']",0,1,0,0,0,1,1,0,0
207,18,"['Green New Deal', 'Renewable energy', 'Emission reduction']",0,1,0,0,0,1,1,0,0
209,17,"['Executive action', 'Other climate policy']",0,0,1,0,0,0,0,0,1
209,18,"['Executive action', 'Other climate policy']",0,0,1,0,0,0,0,0,1
210,17,"['Executive action', 'Renewable energy', 'Other climate policy']",0,0,1,0,0,1,0,0,1
210,18,"['Executive action', 'Renewable energy', 'Other climate policy']",0,0,1,0,0,1,0,0,1
213,17,"['Paris Agreement', 'Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",1,1,1,0,0,1,0,1,0
213,18,"['Paris Agreement', 'Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",1,1,1,0,0,1,0,1,0
216,17,"['Executive action', 'Renewable energy', 'Emission reduction']",0,0,1,0,0,1,1,0,0
216,18,"['Executive action', 'Renewable energy', 'Emission reduction']",0,0,1,0,0,1,1,0,0
218,17,"['Green New Deal', 'Executive action', 'Renewable energy']",0,1,1,0,0,1,0,0,0
218,18,"['Green New Deal', 'Executive action', 'Renewable energy']",0,1,1,0,0,1,0,0,0
219,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
219,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
220,17,"['Executive action', 'Other climate policy']",0,0,1,0,0,0,0,0,1
220,18,"['Executive action', 'Other climate policy']",0,0,1,0,0,0,0,0,1
230,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
230,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
236,17,['Executive action'],0,0,1,0,0,0,0,0,0
236,18,['Executive action'],0,0,1,0,0,0,0,0,0
251,17,"['Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,1,1,1,0
251,18,"['Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,1,1,1,0
253,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
253,18,"['Executive action', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,0,1,0,1,0
256,17,"['Paris Agreement', 'Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,0,0,0,1,1,1,0
256,18,"['Paris Agreement', 'Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,0,0,0,1,1,1,0
260,17,"['Executive action', 'Oil and gas industry']",0,0,1,0,0,0,0,1,0
260,18,"['Executive action', 'Oil and gas industry']",0,0,1,0,0,0,0,1,0
262,17,"['Executive action', '(De)regulation and laws', 'Oil and gas industry']",0,0,1,0,1,0,0,1,0
262,18,"['Executive action', '(De)regulation and laws', 'Oil and gas industry']",0,0,1,0,1,0,0,1,0
265,17,"['Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,1,0,0,1,1,1,0
265,18,"['Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction']",0,1,1,0,0,1,1,0,0
268,17,"['Paris Agreement', 'Executive action', 'Renewable energy']",1,0,1,0,0,1,0,0,0
268,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
275,17,"['Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",0,1,1,0,0,1,0,1,0
275,18,"['Executive action', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,0,1,0,1,0
276,17,"['Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction']",0,1,1,0,0,1,1,0,0
276,18,"['Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction']",0,1,1,0,0,1,1,0,0
277,17,"['Executive action', 'Emission reduction']",0,0,1,0,0,0,1,0,0
277,18,"['Executive action', 'Emission reduction']",0,0,1,0,0,0,1,0,0
278,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
278,18,['Executive action'],0,0,1,0,0,0,0,0,0
279,17,"['Executive action', 'Emission reduction']",0,0,1,0,0,0,1,0,0
279,18,"['Executive action', 'Emission reduction']",0,0,1,0,0,0,1,0,0
281,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
281,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
282,17,"['Executive action', 'Emission reduction']",0,0,1,0,0,0,1,0,0
282,18,"['Executive action', 'Emission reduction']",0,0,1,0,0,0,1,0,0
287,17,"['Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",0,1,1,0,0,1,0,1,0
287,18,"['Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",0,1,1,0,0,1,0,1,0
288,17,"['Executive action', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,0,1,0,1,0
288,18,"['Executive action', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,0,1,0,1,0
289,17,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
289,18,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
296,17,"['Green New Deal', 'Renewable energy', 'Emission reduction']",0,1,0,0,0,1,1,0,0
296,18,"['Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,1,1,1,0
305,17,"['Executive action', 'Oil and gas industry']",0,0,1,0,0,0,0,1,0
305,18,['Executive action'],0,0,1,0,0,0,0,0,0
307,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
307,18,['Executive action'],0,0,1,0,0,0,0,0,0
311,17,"['Green New Deal', 'Executive action', 'Oil and gas industry']",0,1,1,0,0,0,0,1,0
311,18,"['Green New Deal', 'Executive action', 'Oil and gas industry']",0,1,1,0,0,0,0,1,0
316,17,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
316,18,['Executive action'],0,0,1,0,0,0,0,0,0
319,17,"['Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",0,1,1,0,0,1,0,1,0
319,18,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
332,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
332,18,['Renewable energy'],0,0,0,0,0,1,0,0,0
333,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
333,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
350,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
350,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
353,18,"['Emission reduction', 'Oil and gas industry']",0,0,0,0,0,0,1,1,0
353,17,"['Emission reduction', 'Oil and gas industry']",0,0,0,0,0,0,1,1,0
368,18,"['Paris Agreement', 'Emergency declaration', 'Renewable energy', 'Emission reduction']",1,0,0,1,0,1,1,0,0
368,17,"['Paris Agreement', 'Emergency declaration', 'Renewable energy', 'Emission reduction']",1,0,0,1,0,1,1,0,0
373,18,"['Paris Agreement', 'Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,1,0,0,1,1,1,0
373,17,"['Paris Agreement', 'Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,1,0,0,1,1,1,0
374,18,"['Paris Agreement', 'Green New Deal', 'Executive action', 'Emergency declaration', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",1,1,1,1,1,1,1,1,1
374,17,"['Paris Agreement', 'Green New Deal', 'Executive action', 'Emergency declaration', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",1,1,1,1,1,1,1,1,1
379,18,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,1,1,1,1,0
379,17,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,1,1,1,1,0
380,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
380,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
382,18,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
382,17,"['Green New Deal', 'Executive action']",0,1,1,0,0,0,0,0,0
383,18,"['Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,1,1,1,0
383,17,"['Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,1,1,1,0
384,18,"['Emission reduction', 'Oil and gas industry']",0,0,0,0,0,0,1,1,0
384,17,"['Emission reduction', 'Oil and gas industry']",0,0,0,0,0,0,1,1,0
390,18,"['Green New Deal', 'Renewable energy', 'Emission reduction', 'Other climate policy']",0,1,0,0,0,1,1,0,1
390,17,"['Paris Agreement', 'Green New Deal', 'Renewable energy', 'Emission reduction']",1,1,0,0,0,1,1,0,0
393,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
393,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
394,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
394,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
395,18,"['Green New Deal', 'Executive action', 'Other climate policy']",0,1,1,0,0,0,0,0,1
395,17,"['Green New Deal', 'Executive action', 'Other climate policy']",0,1,1,0,0,0,0,0,1
396,18,"['Green New Deal', 'Executive action', 'Emission reduction']",0,1,1,0,0,0,1,0,0
396,17,"['Green New Deal', 'Executive action', 'Emission reduction']",0,1,1,0,0,0,1,0,0
412,18,"['Executive action', '(De)regulation and laws', 'Other climate policy']",0,0,1,0,1,0,0,0,1
412,17,"['Executive action', '(De)regulation and laws', 'Other climate policy']",0,0,1,0,1,0,0,0,1
415,18,"['Paris Agreement', 'Emission reduction', 'Other climate policy']",1,0,0,0,0,0,1,0,1
415,17,"['Paris Agreement', 'Emission reduction', 'Other climate policy']",1,0,0,0,0,0,1,0,1
428,18,['Paris Agreement'],1,0,0,0,0,0,0,0,0
428,17,['Paris Agreement'],1,0,0,0,0,0,0,0,0
431,18,"['Paris Agreement', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,0,1,1,1,0
431,17,"['Paris Agreement', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",1,0,1,0,0,1,1,1,1
433,18,"['Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",0,1,1,0,1,1,1,1,1
433,17,"['Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",0,1,1,0,1,1,1,1,1
435,18,"['Green New Deal', 'Executive action', 'Oil and gas industry']",0,1,1,0,0,0,0,1,0
435,17,"['Green New Deal', 'Executive action', 'Oil and gas industry']",0,1,1,0,0,0,0,1,0
443,17,['Paris Agreement'],1,0,0,0,0,0,0,0,0
443,16,['Paris Agreement'],1,0,0,0,0,0,0,0,0
444,17,['Paris Agreement'],1,0,0,0,0,0,0,0,0
444,16,['Paris Agreement'],1,0,0,0,0,0,0,0,0
448,17,"['Executive action', '(De)regulation and laws', 'Oil and gas industry']",0,0,1,0,1,0,0,1,0
448,16,"['Executive action', '(De)regulation and laws', 'Oil and gas industry']",0,0,1,0,1,0,0,1,0
449,17,"['Paris Agreement', 'Executive action', 'Renewable energy']",1,0,1,0,0,1,0,0,0
449,16,"['Paris Agreement', 'Executive action', 'Renewable energy']",1,0,1,0,0,1,0,0,0
451,17,"['Emergency declaration', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,0,1,1,0,1,1,0
451,16,"['Emergency declaration', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,0,1,1,0,1,1,0
452,17,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,0,1,1,0
452,16,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,0,1,1,0
453,17,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,0,1,1,0
453,16,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,0,1,1,0
454,17,['Paris Agreement'],1,0,0,0,0,0,0,0,0
454,16,['Paris Agreement'],1,0,0,0,0,0,0,0,0
466,17,"['Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction']",0,1,1,0,1,1,1,0,0
466,16,"['Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction']",0,1,1,0,1,1,1,0,0
481,17,"['(De)regulation and laws', 'Emission reduction']",0,0,0,0,1,0,1,0,0
481,16,"['(De)regulation and laws', 'Emission reduction']",0,0,0,0,1,0,1,0,0
485,17,"['Executive action', '(De)regulation and laws', 'Emission reduction']",0,0,1,0,1,0,1,0,0
485,16,"['Executive action', '(De)regulation and laws', 'Emission reduction']",0,0,1,0,1,0,1,0,0
489,18,"['Paris Agreement', 'Emission reduction', 'Other climate policy']",1,0,0,0,0,0,1,0,1
489,17,"['Paris Agreement', 'Emission reduction', 'Other climate policy']",1,0,0,0,0,0,1,0,1
490,18,"['Paris Agreement', 'Executive action', 'Oil and gas industry']",1,0,1,0,0,0,0,1,0
490,17,"['Paris Agreement', 'Executive action', 'Oil and gas industry']",1,0,1,0,0,0,0,1,0
492,18,"['Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction']",0,0,1,0,1,1,1,0,0
492,17,"['Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction']",0,0,1,0,1,1,1,0,0
493,18,"['Paris Agreement', 'Executive action', 'Renewable energy']",1,0,1,0,0,1,0,0,0
493,17,"['Paris Agreement', 'Executive action', 'Renewable energy']",1,0,1,0,0,1,0,0,0
496,18,"['Green New Deal', 'Emission reduction', 'Other climate policy']",0,1,0,0,0,0,1,0,1
496,17,"['Green New Deal', 'Emission reduction']",0,1,0,0,0,0,1,0,0
509,18,"['Paris Agreement', 'Executive action', 'Emergency declaration', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,1,0,1,1,1,0
509,17,"['Paris Agreement', 'Executive action', 'Emergency declaration', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,1,0,1,1,1,0
514,18,"['Executive action', '(De)regulation and laws', 'Emission reduction']",0,0,1,0,1,0,1,0,0
514,17,"['Executive action', '(De)regulation and laws', 'Emission reduction']",0,0,1,0,1,0,1,0,0
515,18,"['Paris Agreement', 'Green New Deal', 'Renewable energy', 'Emission reduction', 'Other climate policy']",1,1,0,0,0,1,1,0,1
515,17,"['Paris Agreement', 'Green New Deal', 'Renewable energy', 'Emission reduction']",1,1,0,0,0,1,1,0,0
516,18,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,1,0,1,1,0
516,17,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,1,0,1,1,0
526,18,"['Executive action', 'Renewable energy', 'Emission reduction']",0,0,1,0,0,1,1,0,0
526,17,"['Executive action', 'Renewable energy', 'Emission reduction']",0,0,1,0,0,1,1,0,0
529,18,"['Emergency declaration', 'Renewable energy', 'Other climate policy']",0,0,0,1,0,1,0,0,1
529,17,"['Emergency declaration', 'Renewable energy', 'Other climate policy']",0,0,0,1,0,1,0,0,1
542,18,"['Green New Deal', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",0,1,0,0,0,0,1,1,1
542,17,"['Green New Deal', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,0,1,1,0
544,18,"['Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",0,1,1,0,0,1,0,1,0
544,17,"['Green New Deal', 'Executive action', 'Renewable energy', 'Oil and gas industry']",0,1,1,0,0,1,0,1,0
554,18,"['Emission reduction', 'Oil and gas industry']",0,0,0,0,0,0,1,1,0
554,17,"['Emission reduction', 'Oil and gas industry']",0,0,0,0,0,0,1,1,0
561,18,"['Paris Agreement', 'Emission reduction']",1,0,0,0,0,0,1,0,0
561,17,"['Paris Agreement', 'Emission reduction']",1,0,0,0,0,0,1,0,0
580,18,"['Paris Agreement', 'Executive action']",1,0,1,0,0,0,0,0,0
580,17,"['Paris Agreement', 'Executive action']",1,0,1,0,0,0,0,0,0
633,18,"['Paris Agreement', 'Executive action']",1,0,1,0,0,0,0,0,0
633,17,"['Paris Agreement', 'Executive action']",1,0,1,0,0,0,0,0,0
634,18,"['Green New Deal', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,0,1,1,0
634,17,"['Green New Deal', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,0,1,1,0
638,18,"['Green New Deal', 'Renewable energy']",0,1,0,0,0,1,0,0,0
638,17,"['Green New Deal', 'Renewable energy', 'Other climate policy']",0,1,0,0,0,1,0,0,1
641,18,"['Paris Agreement', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,0,0,0,1,1,1,0
641,17,"['Paris Agreement', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,0,0,0,1,1,1,0
675,18,"['Paris Agreement', 'Other climate policy']",1,0,0,0,0,0,0,0,1
675,17,"['Paris Agreement', 'Other climate policy']",1,0,0,0,0,0,0,0,1
684,18,"['Paris Agreement', 'Executive action', 'Other climate policy']",1,0,1,0,0,0,0,0,1
684,17,"['Paris Agreement', 'Executive action', 'Other climate policy']",1,0,1,0,0,0,0,0,1
685,18,['Oil and gas industry'],0,0,0,0,0,0,0,1,0
685,17,['Oil and gas industry'],0,0,0,0,0,0,0,1,0
699,18,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Other climate policy']",1,0,1,0,1,0,0,0,1
699,17,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Other climate policy']",1,0,1,0,1,0,0,0,1
703,18,"['Green New Deal', '(De)regulation and laws']",0,1,0,0,1,0,0,0,0
703,17,"['Green New Deal', '(De)regulation and laws']",0,1,0,0,1,0,0,0,0
704,18,[],0,0,0,0,0,0,0,0,0
704,17,[],0,0,0,0,0,0,0,0,0
706,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
706,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
707,18,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Other climate policy']",0,0,1,0,1,0,1,0,1
707,17,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Other climate policy']",0,0,1,0,1,0,1,0,1
708,18,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Other climate policy']",0,0,1,0,1,0,1,0,1
708,17,"['Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",0,0,1,0,1,1,1,1,1
709,18,"['Executive action', 'Other climate policy']",0,0,1,0,0,0,0,0,1
709,17,['Executive action'],0,0,1,0,0,0,0,0,0
710,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
710,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
711,18,['Executive action'],0,0,1,0,0,0,0,0,0
711,17,['Executive action'],0,0,1,0,0,0,0,0,0
714,18,"['Executive action', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,0,1,0,1,0
714,17,"['Executive action', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,0,1,0,1,0
715,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
715,17,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
716,18,"['Executive action', 'Other climate policy']",0,0,1,0,0,0,0,0,1
716,17,"['Executive action', '(De)regulation and laws', 'Other climate policy']",0,0,1,0,1,0,0,0,1
717,18,['Oil and gas industry'],0,0,0,0,0,0,0,1,0
717,17,['Oil and gas industry'],0,0,0,0,0,0,0,1,0
718,18,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,1,1,1,1,0
718,17,"['Paris Agreement', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,1,0,1,1,1,1,0
734,18,"['Executive action', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,0,0,1,1,0
734,17,"['Executive action', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,0,0,1,1,0
735,18,"['Green New Deal', 'Executive action', 'Oil and gas industry']",0,1,1,0,0,0,0,1,0
735,17,"['Green New Deal', 'Executive action', 'Oil and gas industry']",0,1,1,0,0,0,0,1,0
738,18,"['(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,0,0,1,0,1,1,0
738,17,"['(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,0,0,1,0,1,1,0
742,18,"['Executive action', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,0,0,1,1,0
742,17,"['Executive action', 'Oil and gas industry']",0,0,1,0,0,0,0,1,0
743,19,"['(De)regulation and laws', 'Renewable energy', 'Oil and gas industry']",0,0,0,0,1,1,0,1,0
743,17,"['(De)regulation and laws', 'Renewable energy', 'Oil and gas industry']",0,0,0,0,1,1,0,1,0
750,19,"['Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,1,0,0,1,1,1,0
750,17,"['Green New Deal', 'Executive action', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,1,0,0,1,1,1,0
751,19,"['Executive action', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,0,1,0,1,0
