,internal_id,media_outlet,climate_change,attitude,policy
38,19,CNN,Neutral,Neutral,Does not mention
39,19,CNN,Neutral,Neutral,Does not mention
40,20,CNN,Neutral,Neutral,Does not mention
41,20,CNN,Acknowledges,Neutral,Supports
42,21,CNN,Acknowledges,Expresses climate concern,Does not mention
43,21,CNN,Acknowledges,Expresses climate concern,Does not mention
44,22,MSNBC,Acknowledges,Expresses climate concern,Does not mention
45,22,MSNBC,Acknowledges,Expresses climate concern,Does not mention
46,23,CNN,Acknowledges,Expresses climate concern,Supports
47,23,CNN,Acknowledges,Expresses climate concern,Supports
48,24,CNN,Acknowledges,Expresses climate concern,Does not mention
49,24,CNN,Acknowledges,Expresses climate concern,Does not mention
50,25,CNN,Acknowledges,Expresses climate concern,Supports
51,25,CNN,Acknowledges,Expresses climate concern,Supports
52,26,CNN,Acknowledges,Expresses climate concern,Supports
53,26,CNN,Acknowledges,Expresses climate concern,Supports
54,27,CNN,Acknowledges,Expresses climate concern,Does not mention
55,27,CNN,Acknowledges,Expresses climate concern,Does not mention
56,28,NBC,Neutral,Expresses climate concern,Does not mention
57,28,NBC,Neutral,Expresses climate concern,Does not mention
58,29,MSNBC,Acknowledges,Expresses climate concern,Does not mention
59,29,MSNBC,Acknowledges,Expresses climate concern,Does not mention
60,30,MSNBC,Acknowledges,Expresses climate concern,Supports
61,30,MSNBC,Acknowledges,Expresses climate concern,Supports
62,32,CNN,Neutral,Neutral,Does not mention
63,32,CNN,Neutral,Expresses climate concern,Does not mention
64,35,PBS,Acknowledges,Expresses climate concern,Does not mention
65,35,PBS,Acknowledges,Expresses climate concern,Does not mention
66,36,CNN,,,
67,36,CNN,,,
68,37,MSNBC,Neutral,Neutral,Does not mention
69,37,MSNBC,Neutral,Neutral,Does not mention
70,38,CNN,Neutral,Expresses climate concern,Does not mention
71,38,CNN,Acknowledges,Expresses climate concern,Does not mention
72,39,CNN,Acknowledges,Expresses climate concern,Does not mention
73,39,CNN,Acknowledges,Expresses climate concern,Does not mention
74,40,CNN,Acknowledges,Neutral,Does not mention
75,40,CNN,Acknowledges,Expresses climate concern,Does not mention
76,41,Fox,Neutral,Neutral,Does not mention
77,41,Fox,Neutral,Neutral,Does not mention
78,42,Fox,Acknowledges,Neutral,Does not mention
79,42,Fox,Neutral,Neutral,Does not mention
80,43,CBS,Neutral,Neutral,Supports
81,43,CBS,Neutral,Neutral,Supports
82,44,CNN,Neutral,Expresses climate concern,Does not mention
83,44,CNN,Neutral,Expresses climate concern,Does not mention
84,45,CNN,Neutral,Neutral,Does not mention
85,45,CNN,Neutral,Neutral,Does not mention
86,46,CNN,Neutral,Neutral,Does not mention
87,46,CNN,Neutral,Neutral,Does not mention
88,48,PBS,Neutral,Expresses climate concern,Does not mention
89,48,PBS,Neutral,Expresses climate concern,Does not mention
90,49,CNN,Neutral,Neutral,Supports
91,49,CNN,Neutral,Neutral,Supports
92,50,Fox,Neutral,Expresses opposition to climate concern,Does not mention
93,50,Fox,Neutral,Expresses opposition to climate concern,Does not mention
94,52,MSNBC,Neutral,Neutral,Does not mention
95,52,MSNBC,Neutral,Neutral,Does not mention
96,53,ABC,Acknowledges,Neutral,Opposes
97,53,ABC,Acknowledges,Neutral,Opposes
98,54,ABC,Neutral,Neutral,Does not mention
99,54,ABC,Neutral,Neutral,Does not mention
100,55,MSNBC,Neutral,Expresses climate concern,Does not mention
101,55,MSNBC,Neutral,Expresses climate concern,Does not mention
102,56,CNN,Acknowledges,Expresses climate concern,Does not mention
103,56,CNN,Acknowledges,Expresses climate concern,Does not mention
104,57,NBC,Acknowledges,Expresses climate concern,Does not mention
105,57,NBC,Acknowledges,Expresses climate concern,Does not mention
106,58,CNN,Neutral,Expresses climate concern,Does not mention
107,58,CNN,Neutral,Expresses climate concern,Does not mention
108,59,CNN,Neutral,Expresses climate concern,Does not mention
109,59,CNN,Neutral,Expresses climate concern,Does not mention
110,60,CNN,Neutral,Neutral,Does not mention
111,60,CNN,Neutral,Neutral,Does not mention
112,61,CNN,Neutral,Neutral,Does not mention
113,61,CNN,Neutral,Neutral,Does not mention
114,62,PBS,Neutral,Expresses climate concern,Does not mention
115,62,PBS,Neutral,Expresses climate concern,Does not mention
116,63,Fox,Neutral,Expresses opposition to climate concern,Does not mention
117,63,Fox,Neutral,Expresses opposition to climate concern,Does not mention
118,64,CNN,Neutral,Expresses climate concern,Does not mention
119,64,CNN,Neutral,Expresses climate concern,Does not mention
120,65,Fox,Neutral,Expresses opposition to climate concern,Does not mention
121,65,Fox,Neutral,Expresses opposition to climate concern,Does not mention
122,67,CNN,Acknowledges,Expresses climate concern,Does not mention
123,67,CNN,Neutral,Neutral,Does not mention
124,68,ABC,Acknowledges,Expresses climate concern,Does not mention
125,68,ABC,Acknowledges,Expresses climate concern,Does not mention
126,69,Fox,Acknowledges,Neutral,Does not mention
127,69,Fox,Neutral,Neutral,Does not mention
128,70,MSNBC,Neutral,Expresses climate concern,Does not mention
129,70,MSNBC,Neutral,Expresses climate concern,Does not mention
130,71,CNN,Acknowledges,Expresses climate concern,Does not mention
131,71,CNN,Acknowledges,Expresses climate concern,Does not mention
132,72,Fox,Acknowledges,Expresses climate concern,Does not mention
133,72,Fox,Neutral,Neutral,Does not mention
134,73,CNN,Acknowledges,Expresses climate concern,Does not mention
135,73,CNN,Neutral,Neutral,Does not mention
136,75,Fox,Neutral,Neutral,Does not mention
137,75,Fox,Neutral,Neutral,Does not mention
138,76,Fox,Neutral,Neutral,Does not mention
139,76,Fox,Neutral,Neutral,Does not mention
140,77,Fox,Neutral,Expresses opposition to climate concern,Opposes
141,77,Fox,Neutral,Neutral,Does not mention
142,78,Fox,Neutral,Expresses opposition to climate concern,Does not mention
143,78,Fox,Neutral,Neutral,Does not mention
144,79,Fox,Neutral,Expresses opposition to climate concern,Does not mention
145,79,Fox,Neutral,Expresses opposition to climate concern,Does not mention
146,80,CNN,Acknowledges,Expresses climate concern,Does not mention
147,80,CNN,Neutral,Neutral,Does not mention
148,81,MSNBC,Acknowledges,Expresses climate concern,Supports
149,81,MSNBC,Acknowledges,Expresses climate concern,Supports
150,82,MSNBC,Acknowledges,Expresses climate concern,Supports
151,82,MSNBC,Acknowledges,Expresses climate concern,Supports
152,83,MSNBC,Neutral,Expresses climate concern,Does not mention
153,83,MSNBC,Neutral,Neutral,Does not mention
154,85,MSNBC,Acknowledges,Expresses climate concern,Does not mention
155,85,MSNBC,Acknowledges,Expresses climate concern,Does not mention
156,86,Fox,Neutral,Neutral,Opposes
157,86,Fox,Neutral,Neutral,Does not mention
158,87,Fox,Neutral,Neutral,Does not mention
159,87,Fox,Neutral,Neutral,Does not mention
160,88,CNN,Neutral,Expresses climate concern,Does not mention
161,88,CNN,Neutral,Expresses climate concern,Does not mention
162,89,CNN,Neutral,Expresses climate concern,Does not mention
163,89,CNN,Neutral,Expresses climate concern,Does not mention
164,90,CNN,Neutral,Expresses climate concern,Does not mention
165,90,CNN,Neutral,Expresses climate concern,Does not mention
166,91,CNN,Neutral,Expresses climate concern,Does not mention
167,91,CNN,Neutral,Neutral,Does not mention
168,92,Fox,Neutral,Neutral,Does not mention
169,92,Fox,Neutral,Neutral,Does not mention
170,93,MSNBC,Neutral,Expresses climate concern,Does not mention
171,93,MSNBC,Neutral,Expresses climate concern,Does not mention
172,94,CNN,Neutral,Neutral,Does not mention
173,94,CNN,Neutral,Neutral,Does not mention
174,95,CBS,Neutral,Expresses climate concern,Does not mention
175,95,CBS,Neutral,Expresses climate concern,Does not mention
176,96,Fox,Neutral,Neutral,Does not mention
177,96,Fox,Neutral,Neutral,Does not mention
178,97,CNN,Neutral,Expresses climate concern,Does not mention
179,97,CNN,Neutral,Neutral,Does not mention
180,98,CBS,Neutral,Expresses climate concern,Does not mention
181,98,CBS,Acknowledges,Expresses climate concern,Does not mention
182,100,Fox,Neutral,Neutral,Does not mention
183,100,Fox,Neutral,Neutral,Does not mention
184,101,CBS,Acknowledges,Expresses climate concern,Does not mention
185,101,CBS,Acknowledges,Expresses climate concern,Does not mention
186,102,MSNBC,Neutral,Expresses climate concern,Does not mention
187,102,MSNBC,Neutral,Neutral,Does not mention
188,103,Fox,Neutral,Neutral,Does not mention
189,103,Fox,Neutral,Neutral,Does not mention
190,104,Fox,Neutral,Neutral,Does not mention
191,104,Fox,Neutral,Neutral,Does not mention
192,105,MSNBC,Neutral,Neutral,Does not mention
193,105,MSNBC,Neutral,Neutral,Does not mention
194,106,CNN,Neutral,Neutral,Does not mention
195,106,CNN,Neutral,Neutral,Does not mention
196,107,CBS,Neutral,Expresses climate concern,Does not mention
197,107,CBS,Neutral,Neutral,Does not mention
198,108,ABC,Neutral,Expresses climate concern,Does not mention
199,108,ABC,Neutral,Expresses climate concern,Does not mention
200,109,CNN,Neutral,Neutral,Does not mention
201,109,CNN,Neutral,Neutral,Does not mention
202,111,CNN,Neutral,Neutral,Does not mention
203,111,CNN,Neutral,Neutral,Does not mention
204,112,Fox,Neutral,Neutral,Opposes
205,112,Fox,Neutral,Neutral,Does not mention
206,113,CNN,Acknowledges,Expresses climate concern,Does not mention
207,113,CNN,Neutral,Expresses climate concern,Does not mention
208,115,CNN,Neutral,Expresses climate concern,Does not mention
209,115,CNN,Neutral,Expresses climate concern,Does not mention
210,116,CNN,Neutral,Neutral,Does not mention
211,116,CNN,Neutral,Neutral,Does not mention
212,117,MSNBC,Neutral,Neutral,Does not mention
213,117,MSNBC,Denies,Expresses climate concern,Does not mention
214,118,Fox,Neutral,Neutral,Does not mention
215,118,Fox,Neutral,Neutral,Does not mention
216,119,NBC,Neutral,Expresses climate concern,Does not mention
217,119,NBC,Acknowledges,Expresses climate concern,Does not mention
218,120,Fox,Neutral,Expresses opposition to climate concern,Does not mention
219,120,Fox,Neutral,Expresses opposition to climate concern,Does not mention
220,121,CNN,Neutral,Neutral,Does not mention
221,121,CNN,Neutral,Neutral,Does not mention
222,122,Fox,Neutral,Neutral,Does not mention
223,122,Fox,Neutral,Neutral,Does not mention
224,123,Fox,Neutral,Neutral,Does not mention
225,123,Fox,Neutral,Neutral,Does not mention
226,124,MSNBC,Neutral,Neutral,Does not mention
227,124,MSNBC,Neutral,Neutral,Does not mention
228,125,ABC,Neutral,Neutral,Does not mention
229,125,ABC,Neutral,Expresses climate concern,Does not mention
230,126,Fox,Neutral,Neutral,Does not mention
231,126,Fox,Neutral,Neutral,Does not mention
232,127,Fox,Neutral,Neutral,Does not mention
233,127,Fox,Neutral,Neutral,Does not mention
234,128,CBS,Neutral,Neutral,Does not mention
235,128,CBS,Neutral,Neutral,Does not mention
236,129,CNN,Neutral,Neutral,Does not mention
237,129,CNN,Neutral,Neutral,Does not mention
238,130,CNN,Neutral,Neutral,Does not mention
239,130,CNN,Acknowledges,Neutral,Does not mention
240,131,CNN,Neutral,Neutral,Does not mention
241,131,CNN,Neutral,Neutral,Does not mention
242,132,Fox,Neutral,Neutral,Does not mention
243,132,Fox,Neutral,Neutral,Does not mention
244,133,CNN,Acknowledges,Expresses climate concern,Does not mention
245,133,CNN,Acknowledges,Expresses climate concern,Does not mention
246,135,PBS,Acknowledges,Expresses climate concern,Does not mention
247,135,PBS,Acknowledges,Expresses climate concern,Does not mention
248,136,CNN,Neutral,Neutral,Does not mention
249,136,CNN,Neutral,Neutral,Does not mention
250,137,CNN,Neutral,Neutral,Does not mention
251,137,CNN,Neutral,Neutral,Does not mention
252,138,CNN,Neutral,Neutral,Does not mention
253,138,CNN,Neutral,Neutral,Does not mention
254,139,MSNBC,Neutral,Neutral,Neutral
255,139,MSNBC,Neutral,Neutral,Opposes
256,140,MSNBC,Neutral,Expresses climate concern,Does not mention
257,140,MSNBC,Neutral,Expresses climate concern,Does not mention
258,142,CNN,Neutral,Neutral,Does not mention
259,142,CNN,Neutral,Neutral,Does not mention
260,144,Fox,Neutral,Neutral,Does not mention
261,144,Fox,Neutral,Neutral,Does not mention
262,145,CNN,Neutral,Neutral,Does not mention
263,145,CNN,Neutral,Neutral,Does not mention
264,146,CBS,Neutral,Neutral,Does not mention
265,146,CBS,Neutral,Neutral,Does not mention
266,148,MSNBC,Neutral,Neutral,Does not mention
267,148,MSNBC,Neutral,Neutral,Does not mention
268,149,NBC,Neutral,Neutral,Does not mention
269,149,NBC,Neutral,Neutral,Does not mention
270,150,CNN,Neutral,Neutral,Does not mention
271,150,CNN,Neutral,Neutral,Does not mention
272,151,Fox,Neutral,Neutral,Does not mention
273,151,Fox,Neutral,Neutral,Does not mention
274,152,CNN,Neutral,Neutral,Does not mention
275,152,CNN,Neutral,Neutral,Does not mention
276,153,PBS,Neutral,Neutral,Does not mention
277,153,PBS,Neutral,Neutral,Does not mention
278,154,NBC,Neutral,Neutral,Does not mention
279,154,NBC,Neutral,Neutral,Does not mention
280,155,Fox,Neutral,Neutral,Does not mention
281,155,Fox,Neutral,Neutral,Does not mention
282,157,NBC,Neutral,Neutral,Does not mention
283,157,NBC,Neutral,Neutral,Does not mention
284,158,CNN,Neutral,Neutral,Does not mention
285,158,CNN,Neutral,Neutral,Does not mention
286,159,PBS,Neutral,Neutral,Does not mention
287,159,PBS,Neutral,Neutral,Does not mention
288,160,CNN,Neutral,Neutral,Does not mention
289,160,CNN,Neutral,Neutral,Does not mention
290,161,CNN,Neutral,Neutral,Does not mention
291,161,CNN,Neutral,Neutral,Does not mention
292,162,Fox,Neutral,Neutral,Does not mention
293,162,Fox,Neutral,Neutral,Does not mention
294,163,Fox,Neutral,Neutral,Does not mention
295,163,Fox,Neutral,Neutral,Does not mention
296,164,NBC,Acknowledges,Expresses climate concern,Does not mention
297,164,NBC,Acknowledges,Expresses climate concern,Does not mention
298,165,CBS,Neutral,Neutral,Does not mention
299,165,CBS,Neutral,Neutral,Does not mention
300,166,Fox,Neutral,Neutral,Does not mention
301,166,Fox,Neutral,Expresses climate concern,Does not mention
302,167,CNN,Neutral,Neutral,Does not mention
303,167,CNN,Neutral,Neutral,Does not mention
304,168,MSNBC,Neutral,Expresses opposition to climate concern,Does not mention
305,168,MSNBC,Neutral,Expresses opposition to climate concern,Does not mention
306,169,CNN,Acknowledges,Expresses climate concern,Does not mention
307,170,MSNBC,Acknowledges,Expresses climate concern,Does not mention
308,170,MSNBC,Neutral,Expresses climate concern,Does not mention
309,171,CNN,Acknowledges,Expresses climate concern,Does not mention
310,171,CNN,Acknowledges,Expresses climate concern,Does not mention
311,172,CNN,Acknowledges,Expresses climate concern,Does not mention
312,172,CNN,Acknowledges,Expresses climate concern,Does not mention
313,173,MSNBC,Acknowledges,Expresses climate concern,Does not mention
314,173,MSNBC,Acknowledges,Expresses climate concern,Does not mention
315,174,Fox,Neutral,Neutral,Does not mention
316,174,Fox,Neutral,Expresses opposition to climate concern,Opposes
317,175,Fox,Neutral,Expresses climate concern,Does not mention
318,175,Fox,Neutral,Debate,Debate
319,176,CNN,Neutral,Neutral,Does not mention
320,176,CNN,Neutral,Neutral,Does not mention
321,177,Fox,Neutral,Expresses climate concern,Does not mention
322,177,Fox,Neutral,Expresses climate concern,Does not mention
323,178,NBC,Neutral,Neutral,Does not mention
324,178,NBC,Neutral,Neutral,Does not mention
325,179,MSNBC,Neutral,Neutral,Does not mention
326,179,MSNBC,Neutral,Expresses climate concern,Does not mention
327,180,CNN,Acknowledges,Expresses climate concern,Does not mention
328,180,CNN,Neutral,Expresses climate concern,Does not mention
329,181,PBS,Acknowledges,Expresses climate concern,Does not mention
330,181,PBS,Acknowledges,Expresses climate concern,Does not mention
331,182,NBC,Neutral,Neutral,Does not mention
332,182,NBC,Neutral,Neutral,Does not mention
333,182,NBC,Neutral,Expresses climate concern,Does not mention
334,183,ABC,Neutral,Neutral,Does not mention
335,183,ABC,Neutral,Neutral,Does not mention
336,184,CNN,Acknowledges,Expresses climate concern,Supports
337,184,CNN,Acknowledges,Expresses climate concern,Supports
338,185,CNN,Neutral,Neutral,Does not mention
339,185,CNN,Neutral,Neutral,Does not mention
340,186,CNN,Acknowledges,Expresses climate concern,Does not mention
341,186,CNN,Acknowledges,Expresses climate concern,Does not mention
342,187,Fox,Neutral,Neutral,Opposes
343,187,Fox,Neutral,Neutral,Opposes
344,188,MSNBC,Neutral,Neutral,Does not mention
345,188,MSNBC,Neutral,Neutral,Does not mention
346,189,Fox,Neutral,Neutral,Does not mention
347,189,Fox,Neutral,Neutral,Does not mention
348,190,PBS,Neutral,Neutral,Neutral
349,190,PBS,Neutral,Neutral,Neutral
350,191,CNN,Acknowledges,Expresses climate concern,Supports
351,191,CNN,Acknowledges,Expresses climate concern,Supports
352,192,CNN,Neutral,Neutral,Does not mention
353,192,CNN,Neutral,Neutral,Does not mention
354,193,CNN,Neutral,Expresses climate concern,Does not mention
355,193,CNN,Neutral,Expresses climate concern,Does not mention
356,194,ABC,Neutral,Expresses climate concern,Does not mention
357,194,ABC,Neutral,Expresses climate concern,Does not mention
358,197,CNN,Acknowledges,Expresses climate concern,Supports
359,197,CNN,Acknowledges,Expresses climate concern,Supports
360,198,Fox,Neutral,Neutral,Opposes
361,199,CNN,Neutral,Expresses climate concern,Does not mention
362,199,CNN,Neutral,Expresses climate concern,Does not mention
363,200,MSNBC,Neutral,Neutral,Does not mention
364,200,MSNBC,Neutral,Neutral,Does not mention
365,201,CNN,Neutral,Neutral,Does not mention
366,201,CNN,Neutral,Neutral,Does not mention
367,202,NBC,Neutral,Neutral,Does not mention
368,202,NBC,Neutral,Neutral,Does not mention
369,203,MSNBC,Neutral,Neutral,Does not mention
370,203,MSNBC,Neutral,Neutral,Does not mention
371,204,PBS,Neutral,Neutral,Does not mention
372,204,PBS,Neutral,Neutral,Does not mention
373,205,Fox,Neutral,Neutral,Opposes
374,205,Fox,Neutral,Neutral,Opposes
375,206,Fox,Neutral,Neutral,Opposes
376,206,Fox,Neutral,Neutral,Opposes
377,207,PBS,Acknowledges,Expresses climate concern,Supports
378,207,PBS,Acknowledges,Expresses climate concern,Supports
379,207,PBS,Acknowledges,Expresses climate concern,Supports
380,209,CNN,Neutral,Neutral,Neutral
381,209,CNN,Neutral,Neutral,Does not mention
382,210,CNN,Neutral,Neutral,Neutral
383,210,CNN,Neutral,Neutral,Does not mention
384,211,CNN,Neutral,Expresses climate concern,Does not mention
385,211,CNN,Neutral,Expresses climate concern,Does not mention
386,212,CNN,Neutral,Expresses climate concern,Does not mention
387,212,CNN,Neutral,Expresses climate concern,Does not mention
388,213,Fox,Neutral,Neutral,Opposes
389,213,Fox,Neutral,Expresses opposition to climate concern,Opposes
390,214,ABC,Acknowledges,Expresses climate concern,Does not mention
391,214,ABC,Acknowledges,Expresses climate concern,Does not mention
392,215,ABC,Neutral,Expresses climate concern,Does not mention
393,215,ABC,Acknowledges,Expresses climate concern,Does not mention
394,216,CBS,Neutral,Neutral,Neutral
395,216,CBS,Neutral,Neutral,Neutral
396,217,Fox,Neutral,Expresses opposition to climate concern,Does not mention
397,217,Fox,Neutral,Neutral,Does not mention
398,218,Fox,Neutral,Expresses opposition to climate concern,Opposes
399,218,Fox,Neutral,Expresses opposition to climate concern,Opposes
400,219,CNN,Acknowledges,Expresses climate concern,Supports
401,219,CNN,Acknowledges,Expresses climate concern,Supports
402,220,CBS,Neutral,Neutral,Neutral
403,220,CBS,Neutral,Neutral,Neutral
404,221,Fox,Neutral,Neutral,Does not mention
405,221,Fox,Neutral,Neutral,Does not mention
406,224,CNN,Neutral,Neutral,Does not mention
407,224,CNN,Neutral,Neutral,Does not mention
408,225,MSNBC,Neutral,Expresses climate concern,Does not mention
409,225,MSNBC,Neutral,Expresses climate concern,Does not mention
410,226,CBS,Neutral,Neutral,Does not mention
411,226,CBS,Neutral,Neutral,Does not mention
412,227,NBC,Neutral,Expresses climate concern,Does not mention
413,227,NBC,Neutral,Expresses climate concern,Does not mention
414,228,MSNBC,Neutral,Neutral,Does not mention
415,228,MSNBC,Acknowledges,Neutral,Does not mention
416,229,CNN,Neutral,Neutral,Does not mention
417,229,CNN,Neutral,Neutral,Does not mention
418,230,CNN,Acknowledges,Expresses climate concern,Supports
419,230,CNN,Acknowledges,Expresses climate concern,Does not mention
420,231,CBS,Acknowledges,Expresses climate concern,Does not mention
421,231,CBS,Acknowledges,Expresses climate concern,Does not mention
422,232,ABC,Neutral,Expresses climate concern,Does not mention
423,232,ABC,Neutral,Expresses climate concern,Does not mention
424,233,CNN,Neutral,Neutral,Does not mention
425,233,CNN,Neutral,Neutral,Does not mention
426,234,CNN,Neutral,Expresses climate concern,Does not mention
427,234,CNN,Neutral,Expresses climate concern,Does not mention
428,236,CNN,Neutral,Neutral,Neutral
429,236,CNN,Neutral,Neutral,Neutral
430,237,Fox,Neutral,Neutral,Does not mention
431,237,Fox,Neutral,Neutral,Does not mention
432,238,CNN,Neutral,Neutral,Does not mention
433,238,CNN,Neutral,Neutral,Does not mention
434,239,CNN,Neutral,Expresses climate concern,Does not mention
435,239,CNN,Neutral,Expresses climate concern,Does not mention
436,240,ABC,Acknowledges,Expresses climate concern,Does not mention
437,241,MSNBC,Neutral,Expresses opposition to climate concern,Does not mention
438,241,MSNBC,Neutral,Neutral,Does not mention
439,242,CNN,Acknowledges,Expresses climate concern,Does not mention
440,242,CNN,Acknowledges,Expresses climate concern,Does not mention
441,243,CNN,Acknowledges,Expresses climate concern,Does not mention
442,243,CNN,Neutral,Neutral,Does not mention
443,245,CNN,Neutral,Neutral,Does not mention
444,245,CNN,Neutral,Neutral,Does not mention
445,246,Fox,Neutral,Neutral,Does not mention
446,246,Fox,Neutral,Neutral,Does not mention
447,247,CNN,Acknowledges,Expresses climate concern,Does not mention
448,247,CNN,Acknowledges,Expresses climate concern,Does not mention
449,248,CNN,Neutral,Expresses climate concern,Does not mention
450,248,CNN,Neutral,Expresses climate concern,Does not mention
451,249,Fox,Neutral,Expresses opposition to climate concern,Does not mention
452,249,Fox,Neutral,Expresses opposition to climate concern,Does not mention
453,250,MSNBC,Neutral,Neutral,Does not mention
454,250,MSNBC,Neutral,Neutral,Does not mention
455,251,MSNBC,Acknowledges,Expresses climate concern,Supports
456,251,MSNBC,Acknowledges,Expresses climate concern,Does not mention
457,252,CNN,Acknowledges,Expresses climate concern,Does not mention
458,252,CNN,Acknowledges,Expresses climate concern,Does not mention
459,253,PBS,Neutral,Expresses climate concern,Does not mention
460,253,PBS,Acknowledges,Neutral,Neutral
461,254,CNN,Acknowledges,Expresses climate concern,Does not mention
462,254,CNN,Acknowledges,Expresses climate concern,Does not mention
463,255,CNN,Neutral,Expresses climate concern,Does not mention
464,255,CNN,Neutral,Expresses climate concern,Does not mention
465,256,CNN,Acknowledges,Expresses climate concern,Supports
466,256,CNN,Acknowledges,Expresses climate concern,Supports
467,258,CNN,Neutral,Neutral,Does not mention
468,258,CNN,Neutral,Expresses climate concern,Does not mention
469,259,CNN,Neutral,Expresses climate concern,Does not mention
470,259,CNN,Neutral,Expresses climate concern,Does not mention
471,260,Fox,Neutral,Neutral,Does not mention
472,260,Fox,Neutral,Neutral,Opposes
473,262,CNN,Neutral,Neutral,Does not mention
474,262,CNN,Neutral,Neutral,Opposes
475,263,CNN,Neutral,Expresses climate concern,Does not mention
476,263,CNN,Neutral,Expresses climate concern,Does not mention
477,264,CNN,Acknowledges,Expresses climate concern,Does not mention
478,264,CNN,Acknowledges,Expresses climate concern,Does not mention
479,265,CNN,Acknowledges,Expresses climate concern,Supports
480,265,CNN,Acknowledges,Expresses climate concern,Supports
481,266,CNN,Neutral,Expresses climate concern,Does not mention
482,266,CNN,Neutral,Expresses climate concern,Does not mention
483,267,MSNBC,Neutral,Expresses climate concern,Does not mention
484,267,MSNBC,Neutral,Expresses climate concern,Does not mention
485,268,Fox,Neutral,Expresses climate concern,Opposes
486,268,Fox,Neutral,Expresses climate concern,Opposes
487,269,CBS,Acknowledges,Expresses climate concern,Does not mention
488,269,CBS,Acknowledges,Expresses climate concern,Does not mention
489,270,NBC,Neutral,Neutral,Does not mention
490,270,NBC,Neutral,Expresses climate concern,Does not mention
491,271,CNN,Acknowledges,Expresses climate concern,Does not mention
492,271,CNN,Acknowledges,Expresses climate concern,Does not mention
493,272,MSNBC,Acknowledges,Expresses climate concern,Does not mention
494,272,MSNBC,Acknowledges,Expresses climate concern,Does not mention
495,273,CNN,Acknowledges,Expresses climate concern,Does not mention
496,273,CNN,Neutral,Expresses climate concern,Does not mention
497,274,NBC,Acknowledges,Expresses climate concern,Does not mention
498,274,NBC,Acknowledges,Expresses climate concern,Does not mention
499,275,Fox,Neutral,Neutral,Does not mention
500,275,Fox,Neutral,Neutral,Opposes
501,276,CNN,Acknowledges,Expresses climate concern,Supports
502,277,MSNBC,Acknowledges,Expresses climate concern,Supports
503,277,MSNBC,Acknowledges,Expresses climate concern,Supports
504,278,CNN,Acknowledges,Expresses climate concern,Supports
505,278,CNN,Acknowledges,Expresses climate concern,Supports
506,279,CNN,Acknowledges,Expresses climate concern,Supports
507,279,CNN,Acknowledges,Expresses climate concern,Supports
508,281,MSNBC,Acknowledges,Expresses climate concern,Supports
509,281,MSNBC,Acknowledges,Expresses climate concern,Supports
510,282,MSNBC,Acknowledges,Expresses climate concern,Supports
511,282,MSNBC,Acknowledges,Expresses climate concern,Supports
512,283,CBS,Acknowledges,Expresses climate concern,Does not mention
513,283,CBS,Acknowledges,Expresses climate concern,Does not mention
514,284,CNN,Neutral,Neutral,Does not mention
515,284,CNN,Neutral,Neutral,Does not mention
516,285,CNN,Acknowledges,Expresses climate concern,Does not mention
517,285,CNN,Acknowledges,Expresses climate concern,Does not mention
518,286,Fox,Acknowledges,Expresses climate concern,Does not mention
519,286,Fox,Neutral,Expresses climate concern,Does not mention
